iter	Passed	Remaining
0	0	87
1	1	76
2	2	69
3	2	63
4	3	62
5	4	62
6	4	62
7	5	63
8	6	63
9	6	62
10	7	61
11	8	60
12	8	59
13	9	58
14	10	58
15	11	58
16	11	57
17	12	56
18	13	56
19	13	55
20	14	55
21	15	54
22	16	53
23	16	53
24	17	52
25	18	51
26	19	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	23	46
33	23	46
34	24	45
35	25	44
36	25	44
37	26	43
38	27	42
39	27	41
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	44	24
64	45	24
65	45	23
66	46	22
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	54	16
77	55	15
78	56	14
79	57	14
80	57	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
